Feature_0,Feature_1,Feature_2,Feature_3
3.455668183824111006e-01,-3.273947689920775339e-01,3.133897142548042192e-02,-3.704982400842717349e-01
3.689214061614604079e-02,-1.394514589459789899e-01,3.075132402492786188e-02,-1.072222336089803107e-01
2.605503901160726166e-01,-4.569135739535379326e-03,-3.687559894633630209e-01,1.859415473349742554e-01
3.182244345993721080e-01,3.563596494968556128e-01,1.274653333839553815e-01,-3.501841570829003492e-01
-3.214925697221355239e-01,-3.884192228218125154e-02,-2.576297517489447575e-01,9.459898415900874769e-02
-4.778593843906958072e-01,3.413752815721200484e-01,-2.774421987469338213e-01,-2.659713872303931526e-01
-7.147045460077716683e-02,-2.495812308892467191e-01,-4.436596129033604230e-02,4.671151773512813854e-01
-2.772797845302412689e-01,-1.157824626055496964e-01,5.989441511080328961e-01,-5.285944653585740172e-01
2.399542942610478069e-01,-1.286427541175293454e-01,-1.743512556712105144e-01,6.447557139029357343e-01
-9.224264197579989943e-02,1.981233052404723916e-02,1.559986108945754513e-03,-4.019486877555009108e-01
5.695719417806902607e-01,-4.883788105121248391e-01,2.565014110355324783e-01,3.027417245663290291e-01
-5.641695774510097072e-02,-3.545650340882919860e-01,3.092246089864751912e-01,3.552385381185004798e-01
-4.291829059071855523e-01,-1.380593309575907646e-01,4.875593295981889286e-02,7.155581233539598518e-02
-4.008900349462631296e-01,2.044540123699628564e-01,-1.827109766932589197e-01,-4.120034972538929030e-01
-3.252458825685450305e-01,1.126255631998452911e-01,-1.037052279982441094e-01,-1.215229763819358211e-01
3.792715598797724574e-01,-8.776149950057154925e-04,4.661234107193101828e-02,5.108040608756692080e-02
4.768403195893333724e-02,-3.994869262395285281e-01,-1.059419727474791295e-01,-6.659483455641221905e-01
-3.139927229863141434e-01,-2.694156321774735519e-01,2.703790675072911265e-01,-3.518783740466757126e-01
-2.451161596467739678e-01,5.118170261884947836e-01,-1.663660479294437611e-01,-5.922094797533539179e-02
-1.386255393262783575e-01,4.216398242154217879e-02,-6.930260172400504182e-02,1.253044483946267329e-01
7.844267527692996289e-01,-4.763954013169412471e-01,-2.584362233858913949e-01,3.668899055000127696e-01
-4.606011705906040699e-01,-3.081017068342559173e-01,-3.265270792989544701e-01,2.164701590208062409e-01
2.466008832180268118e-01,1.148688406585087196e-01,2.366153327065447232e-01,1.995503376964857800e-03
-3.516060396037279379e-01,2.830937737938854504e-03,6.041187359969851789e-01,7.514598107846369723e-01
-3.003799710377811349e-01,-8.470664278352924015e-02,-5.784412203295723476e-01,-1.507445528667325507e-01
-2.869506977677707682e-01,1.833990657999636231e-01,-1.107034536568570759e-01,5.293702135007598564e-01
4.167400127970746770e-01,-2.927357152593357270e-02,-3.302689799095118173e-01,5.448228572602981101e-02
-6.106669893685340300e-02,-4.734501983512112711e-01,-7.231534661061966851e-02,-3.945825768173524817e-01
4.077821466681696427e-01,-3.641605023530324892e-01,-4.396659346563639992e-01,4.084608755810404945e-01
5.373576708321214923e-02,1.509146544196026118e-01,-1.149568645956406954e-01,-3.140332171796498262e-01
-9.933867580971189604e-02,-2.807817746207240672e-01,2.493161380685097739e-01,-2.185271967858116171e-01
-4.588267308151361412e-02,4.193990369411139119e-01,-1.250493563188931900e-01,-4.078396166866063988e-01
-3.458544846278939211e-01,3.544016517237730812e-01,-1.085725033286762398e-01,3.471970024793357146e-01
1.415815006430206635e-01,6.859441869007498749e-02,-4.547047934447538409e-01,6.121635923822876801e-02
-6.129842074191920176e-01,-1.396530617836284627e-01,-1.158888505776699551e-01,-5.459721562758257374e-03
-2.159978286359720556e-03,2.151817316216502740e-01,4.893034302949774705e-01,3.558013860140324391e-01
-1.154777056331785512e-01,2.490971441666255393e-01,-2.511028780660778947e-02,-1.097378059049139432e-01
4.802548167924614031e-02,-3.993810234634395107e-01,4.152839602846666311e-01,2.928507229759516606e-01
-2.181113230163893579e-01,4.901188745613201947e-01,2.057947362612356779e-01,-4.783309135542895274e-01
5.952083663387932599e-01,-3.692625948845784656e-02,4.393994949032053454e-01,5.850556575422147798e-01
-5.142859722725966476e-01,3.875291015184035848e-01,-2.912954858306912587e-01,-4.131342404011165703e-01
9.892987181251394757e-02,-2.012513380533111351e-01,-1.497862521681305181e-01,-5.599582705272813099e-01
2.732296773918375665e-01,-4.308368475444302459e-01,-9.568284774830898565e-02,-5.972157253588666892e-01
1.465024748213993311e-01,-4.811831182499010096e-02,-4.114057068566717712e-02,4.295870762013676014e-02
